#KOD_MWE,MWE_0984657_46T0001
DATA I CZAS OD,PPLAN,PAUTO
18-08-2025 00:00,0,0
18-08-2025 01:00,0,0
18-08-2025 02:00,0,0
18-08-2025 03:00,0,0
18-08-2025 04:00,0,0
18-08-2025 05:00,0,0
18-08-2025 06:00,1,2
18-08-2025 07:00,4,2
18-08-2025 08:00,8,2
18-08-2025 09:00,11,8
18-08-2025 10:00,14,8
18-08-2025 11:00,12,2
18-08-2025 12:00,10,4
18-08-2025 13:00,10
18-08-2025 14:00,7
18-08-2025 15:00,6,6
18-08-2025 16:00,4,6
18-08-2025 17:00,4
18-08-2025 18:00,2
18-08-2025 19:00,0,6
18-08-2025 20:00,0,0
18-08-2025 21:00,0,0
18-08-2025 22:00,0,0
18-08-2025 23:00,0,0
19-08-2025 00:00,0,0
19-08-2025 01:00,0,0
19-08-2025 02:00,0,0
19-08-2025 03:00,0,0
19-08-2025 04:00,0,0
19-08-2025 05:00,0,0
19-08-2025 06:00,1,2
19-08-2025 07:00,4
19-08-2025 08:00,7,8
19-08-2025 09:00,11,8
19-08-2025 10:00,14,8
19-08-2025 11:00,17,4
19-08-2025 12:00,14,6
19-08-2025 13:00,8,8
19-08-2025 14:00,8,4
19-08-2025 15:00,6,6
19-08-2025 16:00,6,4
19-08-2025 17:00,6
19-08-2025 18:00,3,6
19-08-2025 19:00,1
19-08-2025 20:00,0,0
19-08-2025 21:00,0,0
19-08-2025 22:00,0,0
19-08-2025 23:00,0,0
20-08-2025 00:00,0,0
20-08-2025 01:00,0,0
20-08-2025 02:00,0,0
20-08-2025 03:00,0,0
20-08-2025 04:00,0,0
20-08-2025 05:00,0,0
20-08-2025 06:00,1,2
20-08-2025 07:00,4,2
20-08-2025 08:00,8,2
20-08-2025 09:00,11,8
20-08-2025 10:00,15
20-08-2025 11:00,17
20-08-2025 12:00,18,2
20-08-2025 13:00,18
20-08-2025 14:00,16,4
20-08-2025 15:00,12,8
20-08-2025 16:00,5,8
20-08-2025 17:00,5,6
20-08-2025 18:00,3,2
20-08-2025 19:00,0,8
20-08-2025 20:00,0,0
20-08-2025 21:00,0,0
20-08-2025 22:00,0,0
20-08-2025 23:00,0,0
21-08-2025 00:00,0,0
21-08-2025 01:00,0,0
21-08-2025 02:00,0,0
21-08-2025 03:00,0,0
21-08-2025 04:00,0,0
21-08-2025 05:00,0,0
21-08-2025 06:00,1
21-08-2025 07:00,4
21-08-2025 08:00,7,4
21-08-2025 09:00,10
21-08-2025 10:00,12,8
21-08-2025 11:00,14
21-08-2025 12:00,14,4
21-08-2025 13:00,11,2
21-08-2025 14:00,8,2
21-08-2025 15:00,8,6
21-08-2025 16:00,7
21-08-2025 17:00,5,2
21-08-2025 18:00,2,2
21-08-2025 19:00,0,6
21-08-2025 20:00,0,0
21-08-2025 21:00,0,0
21-08-2025 22:00,0,0
21-08-2025 23:00,0,0
